                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                0.79865,                 1.5677,                0.55216,                 1.0616,                0.98147,                0.97407,                0.99346,                0.84123,                0.98147,                0.97407,                0.99336,                0.70528,                0.63586,                 1.4467,                0.39844,                0.97739,              0.0019525,              0.0019525,              0.0019525
                     14,                0.81504,                 1.5616,                0.54346,                 1.0614,                0.98992,                0.98148,                0.99398,                 0.8637,                0.98992,                0.98148,                0.99386,                0.72418,                0.60274,                 1.3857,                0.37199,                0.96333,              0.0019485,              0.0019485,              0.0019485
                     15,                0.80046,                 1.5685,                0.54226,                 1.0718,                 0.9842,                0.98148,                0.99267,                0.85371,                 0.9842,                0.98148,                0.99267,                0.72354,                0.62444,                 1.3654,                0.38988,                0.98088,              0.0019446,              0.0019446,              0.0019446
                     16,                0.80697,                 1.5368,                0.54273,                 1.0788,                0.97429,                0.98232,                0.99332,                0.85302,                0.98497,                0.97108,                0.99375,                0.71844,                0.61301,                 1.4201,                0.38982,                0.97629,              0.0019406,              0.0019406,              0.0019406
                     17,                0.79331,                 1.5208,                0.53019,                 1.0568,                0.98042,                0.98148,                0.99449,                0.86442,                0.98042,                0.98148,                0.99449,                 0.7194,                0.59002,                 1.4507,                0.36016,                0.94858,              0.0019366,              0.0019366,              0.0019366
                     18,                0.79532,                 1.5614,                0.52895,                 1.0688,                0.97694,                0.98889,                0.99408,                0.86871,                0.97328,                0.98519,                 0.9936,                0.72743,                0.59429,                 1.4013,                0.36358,                0.95868,              0.0019327,              0.0019327,              0.0019327
                     19,                0.79873,                 1.5419,                0.52706,                 1.0548,                0.98677,                0.98148,                0.99437,                 0.8597,                0.98671,                0.97407,                0.99325,                0.73156,                0.59801,                 1.3507,                   0.37,                0.95143,              0.0019287,              0.0019287,              0.0019287
                     20,                  0.791,                 1.5336,                0.53183,                 1.0558,                0.97049,                0.98889,                0.99263,                0.85205,                0.97049,                0.98889,                0.99297,                0.73905,                0.62768,                 1.3583,                0.37538,                 0.9634,              0.0019248,              0.0019248,              0.0019248
                     21,                0.80307,                 1.5573,                0.52321,                 1.0695,                0.98527,                0.99095,                0.99463,                0.85351,                0.98527,                0.99095,                0.99463,                0.72286,                0.63257,                 1.3855,                0.36792,                0.97417,              0.0019208,              0.0019208,              0.0019208
                     22,                0.79716,                 1.5078,                0.52703,                 1.0565,                0.96557,                0.97778,                 0.9928,                0.84027,                0.97581,                0.97037,                0.99214,                0.72313,                0.65727,                 1.3734,                0.40047,                 1.0012,              0.0019168,              0.0019168,              0.0019168
                     23,                0.82156,                 1.5349,                0.54674,                 1.0738,                0.99625,                0.98505,                0.99463,                0.85954,                0.99625,                0.98505,                0.99463,                0.71909,                0.59597,                 1.3996,                0.36049,                0.96135,              0.0019129,              0.0019129,              0.0019129
                     24,                0.78764,                 1.5447,                0.51399,                 1.0685,                0.98515,                0.97778,                0.99357,                0.83426,                0.98134,                0.97415,                0.99113,                0.69899,                0.66252,                 1.4739,                0.39243,                0.99584,              0.0019089,              0.0019089,              0.0019089
                     25,                0.82056,                 1.5591,                0.54821,                 1.0599,                0.97814,                0.99425,                 0.9941,                0.85856,                0.97814,                0.99425,                0.99429,                0.71162,                0.59179,                 1.4258,                0.34995,                0.95677,               0.001905,               0.001905,               0.001905
                     26,                0.78037,                 1.5273,                0.51127,                 1.0429,                0.99253,                0.98374,                0.99456,                0.86361,                0.99253,                0.98374,                0.99456,                0.73247,                0.60364,                 1.3568,                0.36279,                0.95805,               0.001901,               0.001901,               0.001901
                     27,                0.77824,                 1.5073,                0.51029,                 1.0578,                0.97731,                0.95726,                0.99098,                0.84343,                0.97353,                0.95356,                0.98722,                0.71179,                0.63154,                 1.4279,                0.39584,                0.99552,               0.001897,               0.001897,               0.001897
                     28,                0.76144,                 1.4679,                0.49231,                 1.0446,                0.97807,                0.99099,                0.99398,                 0.8564,                0.97441,                0.98729,                0.99335,                0.73641,                0.61756,                 1.3661,                0.35823,                0.97525,              0.0018931,              0.0018931,              0.0018931
                     29,                0.78763,                   1.49,                0.51593,                 1.0568,                0.95962,                0.98519,                0.99036,                0.83408,                0.96345,                 0.9762,                0.99067,                0.69966,                0.66361,                 1.4512,                0.40231,                 0.9975,              0.0018891,              0.0018891,              0.0018891
                     30,                0.78779,                  1.475,                0.50896,                  1.059,                 0.9949,                0.99259,                0.99493,                0.87867,                0.99118,                0.98889,                0.99284,                0.73891,                0.57988,                 1.3517,                0.33939,                0.94748,              0.0018852,              0.0018852,              0.0018852
                     31,                0.77298,                  1.495,                0.48442,                 1.0394,                0.97052,                0.99259,                0.99426,                0.87078,                0.97052,                0.99259,                0.99437,                0.73719,                0.58034,                  1.324,                 0.3414,                0.93921,              0.0018812,              0.0018812,              0.0018812
                     32,                0.75644,                 1.4685,                0.48792,                 1.0421,                 0.9885,                 0.9963,                0.99478,                 0.8577,                0.98483,                0.99259,                0.99413,                0.73155,                0.61636,                 1.3629,                0.34736,                0.95776,              0.0018772,              0.0018772,              0.0018772
                     33,                0.77258,                 1.5261,                0.49058,                 1.0463,                0.97085,                0.98692,                0.99258,                0.84619,                0.96721,                0.98322,                0.99084,                0.70822,                0.63388,                 1.4562,                0.38049,                0.98704,              0.0018733,              0.0018733,              0.0018733
                     34,                0.77682,                 1.5017,                0.49701,                 1.0409,                0.99252,                0.98296,                0.99456,                 0.8682,                0.99252,                0.98296,                0.99456,                0.72456,                0.57878,                 1.3622,                0.33916,                0.93937,              0.0018693,              0.0018693,              0.0018693
                     35,                0.76359,                 1.5019,                0.48544,                 1.0521,                0.99471,                 0.9963,                0.99481,                 0.8542,                0.99101,                0.99259,                0.99455,                0.74314,                0.61881,                 1.3215,                0.34252,                0.96172,              0.0018654,              0.0018654,              0.0018654
                     36,                   0.78,                 1.5036,                0.48419,                 1.0487,                0.99572,                0.99259,                0.99496,                0.86695,                0.99572,                0.99259,                0.99496,                0.73246,                0.59534,                 1.3446,                0.34562,                0.94877,              0.0018614,              0.0018614,              0.0018614
                     37,                0.77622,                  1.449,                0.48898,                 1.0392,                0.98511,                 0.9802,                0.99408,                0.85897,                0.98511,                 0.9802,                0.99408,                0.72857,                0.60526,                 1.3907,                0.34607,                0.96372,              0.0018574,              0.0018574,              0.0018574
                     38,                0.77165,                   1.47,                0.48031,                 1.0455,                0.98874,                0.98519,                 0.9947,                0.87627,                0.98874,                0.98519,                 0.9947,                0.74552,                0.56679,                 1.3065,                0.33666,                0.93195,              0.0018535,              0.0018535,              0.0018535
                     39,                 0.7707,                 1.5094,                0.48693,                 1.0392,                0.98893,                0.99256,                0.99481,                0.87599,                0.98893,                0.99256,                0.99481,                0.73663,                0.57078,                  1.346,                0.32461,                 0.9322,              0.0018495,              0.0018495,              0.0018495
                     40,                0.75286,                 1.4981,                0.47103,                 1.0312,                0.98533,                0.99489,                 0.9944,                0.88009,                0.98533,                0.99489,                0.99478,                0.74492,                0.56381,                 1.3231,                0.32391,                0.93271,              0.0018456,              0.0018456,              0.0018456
                     41,                0.75555,                 1.4851,                  0.485,                 1.0292,                0.98457,                0.99259,                0.99398,                0.86679,                0.98478,                0.98519,                0.99388,                0.73615,                0.59457,                 1.3377,                0.33876,                 0.9497,              0.0018416,              0.0018416,              0.0018416
                     42,                 0.7714,                 1.4771,                0.48182,                 1.0433,                0.98718,                0.99259,                0.99478,                0.87175,                0.98718,                0.99259,                0.99478,                0.74182,                0.57194,                 1.3096,                0.32897,                0.94069,              0.0018376,              0.0018376,              0.0018376
                     43,                0.75439,                 1.4558,                0.47396,                 1.0375,                0.98877,                0.97816,                0.99456,                0.86853,                0.98877,                0.97816,                0.99456,                0.74216,                0.58876,                 1.3132,                0.33581,                0.95065,              0.0018337,              0.0018337,              0.0018337
                     44,                0.76135,                 1.4563,                0.48087,                 1.0362,                0.99255,                0.98725,                0.99485,                0.87685,                0.99255,                0.98725,                0.99485,                 0.7401,                0.57462,                 1.3033,                0.32841,                0.94683,              0.0018297,              0.0018297,              0.0018297
                     45,                0.75773,                 1.4904,                0.49486,                  1.036,                0.98894,                0.99328,                 0.9947,                0.86652,                0.98894,                0.99328,                 0.9947,                0.73826,                0.57552,                 1.3167,                0.33383,                0.94711,              0.0018258,              0.0018258,              0.0018258
                     46,                0.76864,                  1.479,                 0.4853,                 1.0393,                0.97436,                0.98535,                 0.9937,                0.85818,                0.97436,                0.98535,                0.99408,                0.73668,                0.61319,                 1.3251,                0.35243,                0.96744,              0.0018218,              0.0018218,              0.0018218
                     47,                0.74149,                  1.511,                 0.4858,                 1.0333,                0.99039,                0.98889,                0.99444,                0.87581,                0.99039,                0.98889,                0.99463,                0.75086,                0.57193,                 1.2903,                0.32985,                0.93671,              0.0018178,              0.0018178,              0.0018178
                     48,                0.73671,                 1.4569,                0.48078,                 1.0196,                0.99627,                0.98838,                0.99496,                0.87481,                0.99627,                0.98838,                0.99496,                0.73797,                0.57055,                 1.3146,                0.32338,                0.93509,              0.0018139,              0.0018139,              0.0018139
                     49,                0.74822,                 1.4989,                0.45645,                 1.0267,                0.99629,                0.99582,                  0.995,                0.87115,                0.99629,                0.99582,                  0.995,                0.75313,                0.57999,                 1.2735,                0.31181,                0.94034,              0.0018099,              0.0018099,              0.0018099
                     50,                0.75228,                  1.491,                0.47019,                  1.028,                0.99254,                0.98492,                0.99467,                0.88252,                0.99254,                0.98492,                0.99467,                0.74128,                0.55706,                  1.288,                0.32598,                0.92537,               0.001806,               0.001806,               0.001806
                     51,                0.72119,                 1.4144,                 0.4625,                  1.021,                0.98528,                0.98889,                0.99452,                0.87692,                0.98528,                0.98889,                0.99452,                 0.7541,                0.59277,                  1.277,                0.32474,                0.95214,               0.001802,               0.001802,               0.001802
                     52,                0.75701,                 1.4855,                0.48272,                 1.0342,                 0.9962,                0.98519,                0.99478,                 0.8698,                 0.9962,                0.98519,                0.99478,                0.74949,                0.59781,                  1.312,                0.34481,                0.96129,               0.001798,               0.001798,               0.001798
                     53,                0.74202,                  1.473,                0.45851,                  1.031,                0.99593,                 0.9963,                  0.995,                0.88392,                0.99593,                 0.9963,                  0.995,                0.75406,                0.55719,                 1.2804,                0.30949,                   0.93,              0.0017941,              0.0017941,              0.0017941
                     54,                0.75917,                 1.4706,                0.49795,                 1.0335,                0.99531,                      1,                  0.995,                0.87594,                0.99531,                      1,                  0.995,                0.76298,                0.56408,                 1.2661,                0.31872,                0.93006,              0.0017901,              0.0017901,              0.0017901
                     55,                0.74797,                  1.435,                 0.4774,                   1.03,                0.98888,                0.98836,                0.99423,                0.87436,                0.98888,                0.98836,                0.99423,                0.73534,                0.57943,                 1.3064,                0.33118,                0.94195,              0.0017862,              0.0017862,              0.0017862
                     56,                0.76069,                 1.5039,                0.47657,                 1.0404,                0.99143,                0.99259,                0.99493,                0.87878,                0.99143,                0.99259,                0.99493,                0.73718,                0.54715,                 1.2724,                0.31968,                 0.9267,              0.0017822,              0.0017822,              0.0017822
                     57,                0.74363,                 1.4756,                0.46225,                  1.031,                      1,                0.99915,                  0.995,                0.88269,                      1,                0.99915,                  0.995,                0.74334,                0.53713,                 1.2849,                0.29871,                0.91845,              0.0017782,              0.0017782,              0.0017782
                     58,                0.74467,                 1.4255,                0.46513,                 1.0344,                0.98752,                 0.9963,                0.99478,                0.87593,                0.98752,                 0.9963,                0.99478,                 0.7515,                0.57584,                 1.2823,                0.32662,                 0.9399,              0.0017743,              0.0017743,              0.0017743
                     59,                 0.7228,                 1.4094,                0.45233,                 1.0249,                      1,                0.99246,                  0.995,                0.88612,                      1,                0.99246,                  0.995,                0.76272,                0.54735,                 1.2577,                0.31305,                  0.923,              0.0017703,              0.0017703,              0.0017703
                     60,                0.74047,                 1.4566,                0.45675,                 1.0354,                0.99438,                 0.9963,                0.99496,                0.87664,                0.99438,                 0.9963,                0.99496,                0.74685,                0.57174,                 1.2762,                0.32649,                0.94694,              0.0017664,              0.0017664,              0.0017664
                     61,                0.72646,                 1.4272,                0.46027,                 1.0209,                0.99261,                 0.9963,                0.99496,                0.88805,                0.99261,                 0.9963,                0.99496,                0.76263,                0.54785,                 1.2685,                0.30579,                0.91489,              0.0017624,              0.0017624,              0.0017624
                     62,                0.75439,                 1.4767,                0.47052,                 1.0238,                0.98122,                0.98889,                 0.9938,                0.86591,                0.98122,                0.98889,                0.99418,                0.74143,                0.60373,                 1.2827,                0.33125,                0.95012,              0.0017584,              0.0017584,              0.0017584
                     63,                0.74546,                 1.4352,                 0.4751,                  1.032,                0.98448,                0.99259,                 0.9941,                0.87645,                0.98448,                0.99259,                 0.9941,                0.75497,                0.57905,                 1.2613,                0.32273,                0.94198,              0.0017545,              0.0017545,              0.0017545
                     64,                0.74786,                 1.4036,                0.46988,                 1.0324,                0.99258,                0.99037,                0.99481,                0.87504,                0.99258,                0.99037,                0.99481,                0.74788,                0.57712,                 1.2844,                0.32446,                0.94042,              0.0017505,              0.0017505,              0.0017505
                     65,                0.73207,                  1.421,                0.44892,                 1.0161,                0.98899,                0.99834,                0.99493,                0.85975,                0.98899,                0.99834,                0.99493,                0.72577,                0.60006,                 1.3048,                0.32443,                0.95329,              0.0017466,              0.0017466,              0.0017466
                     66,                0.73729,                 1.4327,                0.47896,                 1.0246,                0.99901,                0.99259,                  0.995,                0.88321,                0.99901,                0.99259,                  0.995,                0.74804,                0.54088,                 1.2734,                0.31059,                0.91826,              0.0017426,              0.0017426,              0.0017426
                     67,                0.71551,                 1.4169,                0.43821,                 1.0158,                0.98896,                0.99556,                0.99489,                0.88031,                0.98896,                0.99556,                0.99489,                0.75891,                0.55682,                   1.26,                0.30363,                0.92834,              0.0017386,              0.0017386,              0.0017386
                     68,                0.73349,                 1.4171,                0.45389,                 1.0309,                0.99563,                0.98519,                0.99437,                0.88291,                0.99186,                0.98148,                0.99409,                0.75891,                0.57374,                 1.2444,                0.32737,                0.94893,              0.0017347,              0.0017347,              0.0017347
                     69,                0.73072,                 1.4435,                0.46191,                 1.0128,                0.99628,                0.99107,                0.99493,                0.87928,                0.99255,                0.98737,                0.99459,                0.74723,                 0.5616,                 1.2958,                0.30681,                0.92822,              0.0017307,              0.0017307,              0.0017307
                     70,                0.71868,                 1.3886,                 0.4372,                 1.0141,                0.98832,                 0.9963,                0.99463,                0.88678,                0.98465,                0.99259,                0.99433,                0.75183,                0.55383,                 1.2649,                0.30966,                0.92788,              0.0017268,              0.0017268,              0.0017268
                     71,                0.70961,                 1.3979,                 0.4553,                 1.0198,                      1,                 0.9954,                  0.995,                0.88441,                      1,                 0.9954,                  0.995,                0.75925,                0.54041,                 1.2652,                0.29897,                0.91971,              0.0017228,              0.0017228,              0.0017228
                     72,                0.74468,                 1.4352,                0.45476,                 1.0344,                 0.9963,                0.99754,                  0.995,                0.87689,                 0.9963,                0.99754,                  0.995,                0.75482,                0.56849,                 1.2904,                0.31467,                0.93866,              0.0017188,              0.0017188,              0.0017188
                     73,                0.73783,                 1.4464,                0.45995,                 1.0224,                      1,                0.99173,                  0.995,                0.87983,                      1,                0.99173,                  0.995,                0.75979,                0.55746,                  1.246,                0.32014,                0.92904,              0.0017149,              0.0017149,              0.0017149
                     74,                0.71485,                 1.3902,                0.43954,                 1.0066,                0.99158,                 0.9963,                 0.9947,                0.88688,                0.99158,                 0.9963,                 0.9947,                0.77195,                0.53282,                 1.2105,                0.29556,                0.91133,              0.0017109,              0.0017109,              0.0017109
                     75,                0.71372,                 1.3567,                0.44764,                 1.0207,                      1,                0.99498,                  0.995,                0.88355,                      1,                0.99498,                  0.995,                0.75293,                0.54698,                 1.2406,                 0.3044,                0.91987,               0.001707,               0.001707,               0.001707
                     76,                0.71868,                 1.3927,                0.45106,                 1.0107,                0.99924,                0.99259,                  0.995,                0.88985,                0.99924,                0.99259,                  0.995,                0.74982,                0.52068,                 1.2589,                0.28894,                0.90939,               0.001703,               0.001703,               0.001703
                     77,                0.71474,                 1.4087,                0.44988,                 1.0179,                0.98528,                0.99179,                0.99474,                0.88561,                0.98528,                0.99179,                0.99474,                0.75886,                0.54031,                 1.2294,                 0.3069,                0.92576,               0.001699,               0.001699,               0.001699
                     78,                0.72436,                 1.4219,                0.45295,                 1.0093,                0.98452,                0.99259,                0.99463,                0.86701,                0.98452,                0.99259,                0.99463,                0.73457,                0.56339,                 1.2648,                0.39051,                0.93722,              0.0016951,              0.0016951,              0.0016951
                     79,                0.71589,                 1.4081,                0.43573,                  1.012,                 0.9929,                0.99259,                0.99496,                0.88327,                 0.9963,                0.99598,                0.99496,                0.76377,                0.52892,                 1.2271,                0.29346,                0.91108,              0.0016911,              0.0016911,              0.0016911
                     80,                0.74033,                 1.4429,                0.46077,                 1.0207,                0.98785,                      1,                0.99493,                0.87804,                0.98785,                      1,                0.99493,                0.74717,                0.53241,                 1.2435,                0.31471,                0.91131,              0.0016872,              0.0016872,              0.0016872
                     81,                0.70357,                 1.3978,                0.42695,                 1.0092,                      1,                0.99235,                  0.995,                0.88293,                      1,                0.99235,                  0.995,                 0.7628,                0.55114,                 1.2399,                0.29756,                0.92379,              0.0016832,              0.0016832,              0.0016832
                     82,                0.71978,                 1.4323,                0.44243,                 1.0137,                0.97825,                0.99933,                0.99433,                 0.8816,                0.97825,                0.99933,                0.99433,                0.74455,                0.54474,                 1.2874,                0.29794,                0.92047,              0.0016792,              0.0016792,              0.0016792
                     83,                0.70424,                 1.3947,                0.45097,                  1.007,                0.98878,                      1,                0.99485,                0.89106,                0.98878,                      1,                0.99485,                0.76121,                0.52764,                 1.2349,                0.29336,                0.90599,              0.0016753,              0.0016753,              0.0016753
                     84,                0.70535,                 1.3757,                0.42719,                 1.0147,                0.98532,                0.99423,                 0.9947,                0.88451,                0.98532,                0.99423,                 0.9947,                0.76353,                0.52981,                  1.241,                0.29643,                0.91319,              0.0016713,              0.0016713,              0.0016713
                     85,                 0.7052,                 1.3541,                0.43265,                 1.0076,                0.99903,                 0.9963,                  0.995,                0.89755,                0.99903,                 0.9963,                  0.995,                0.76049,                0.50478,                  1.208,                0.28444,                 0.8999,              0.0016674,              0.0016674,              0.0016674
                     86,                0.71842,                 1.3805,                0.44809,                 1.0154,                0.98216,                0.99259,                 0.9944,                0.87969,                0.98216,                0.99259,                 0.9944,                0.74062,                0.53502,                 1.2763,                0.29973,                0.91586,              0.0016634,              0.0016634,              0.0016634
                     87,                0.70842,                 1.4015,                0.43382,                 1.0065,                0.98894,                 0.9933,                0.99481,                0.89984,                0.98894,                 0.9933,                0.99481,                0.77078,                0.50803,                 1.2123,                0.28537,                0.90142,              0.0016594,              0.0016594,              0.0016594
                     88,                    0.7,                  1.431,                0.42709,                0.99878,                 0.9865,                0.99259,                0.99478,                0.88755,                 0.9865,                0.99259,                0.99478,                0.75963,                0.53504,                 1.2122,                0.29084,                0.92058,              0.0016555,              0.0016555,              0.0016555
                     89,                0.72141,                 1.3906,                0.42789,                 1.0087,                0.99792,                 0.9963,                  0.995,                0.88397,                0.99792,                 0.9963,                  0.995,                 0.7523,                0.52669,                 1.2056,                0.28494,                0.91556,              0.0016515,              0.0016515,              0.0016515
                     90,                 0.7061,                 1.3591,                0.44467,                   1.01,                0.99919,                 0.9963,                  0.995,                0.88418,                0.99919,                 0.9963,                  0.995,                0.75868,                0.52735,                 1.2127,                0.29707,                0.91309,              0.0016476,              0.0016476,              0.0016476
                     91,                 0.7291,                 1.4011,                0.45073,                 1.0146,                      1,                0.99923,                  0.995,                0.90412,                      1,                0.99923,                  0.995,                0.76754,                  0.516,                 1.2178,                0.28284,                0.90333,              0.0016436,              0.0016436,              0.0016436
                     92,                0.69874,                 1.4067,                0.42941,                 1.0046,                 0.9963,                0.99605,                  0.995,                0.88881,                 0.9963,                0.99605,                  0.995,                  0.761,                0.52621,                 1.2013,                0.28473,                 0.9024,              0.0016396,              0.0016396,              0.0016396
