                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6528,                 1.3985,                 1.4174,                0.98236,                0.98512,                0.98071,                0.99387,                0.89366,                0.98512,                0.98071,                0.99387,                0.71822,                0.46699,                 1.3127,                 1.0602,                0.88361,             0.00066247,             0.00066247,             0.00066247
                      1,                0.71082,                 1.4825,                0.88344,                 1.0084,                0.98887,                0.98732,                0.99369,                 0.8667,                0.98887,                0.98732,                0.99373,                 0.7169,                0.56765,                 1.3509,                0.71459,                0.92915,              0.0013265,              0.0013265,              0.0013265
                      2,                0.76378,                 1.5398,                0.77892,                 1.0474,                0.98128,                0.97097,                0.99366,                0.85124,                0.98128,                0.97097,                0.99366,                0.70441,                0.61358,                 1.4234,                0.60317,                0.97309,              0.0019879,              0.0019879,              0.0019879
                      3,                 0.7921,                 1.5772,                0.69603,                 1.0563,                0.96657,                0.96381,                0.98503,                0.80643,                0.96657,                0.96381,                0.98493,                0.67333,                0.69946,                 1.4574,                0.55291,                  1.009,              0.0019881,              0.0019881,              0.0019881
                      4,                0.82346,                  1.614,                 0.6658,                 1.0671,                0.97649,                0.98519,                0.99289,                0.83477,                0.97649,                0.98519,                 0.9923,                0.68611,                0.61602,                 1.4446,                0.44684,                0.96331,              0.0019881,              0.0019881,              0.0019881
                      5,                0.77309,                 1.5578,                0.60352,                 1.0454,                0.97786,                0.98142,                0.99271,                 0.8482,                0.97786,                0.98142,                0.99271,                0.71657,                0.60025,                 1.3794,                0.41681,                0.96169,              0.0019842,              0.0019842,              0.0019842
                      6,                0.81681,                 1.5666,                0.62577,                 1.0742,                0.99158,                0.97037,                 0.9923,                0.83172,                 0.9878,                0.96667,                0.98852,                 0.6953,                0.64945,                 1.4245,                0.42581,                0.98272,              0.0019802,              0.0019802,              0.0019802
                      7,                  0.814,                 1.6113,                0.60291,                 1.0733,                 0.9899,                0.97037,                0.99332,                0.84922,                0.98869,                0.97158,                 0.9922,                 0.7022,                0.63028,                  1.452,                 0.4427,                0.99046,              0.0019762,              0.0019762,              0.0019762
                      8,                0.79269,                 1.5984,                0.57835,                 1.0606,                0.99239,                0.96667,                0.99396,                0.84275,                0.98858,                0.96296,                0.99308,                0.69891,                0.64587,                 1.4403,                0.40804,                0.99522,              0.0019723,              0.0019723,              0.0019723
                      9,                0.80541,                 1.6083,                 0.5923,                 1.0575,                0.98326,                0.97407,                0.99357,                0.84306,                0.98326,                0.97407,                0.99357,                 0.7113,                0.62008,                 1.4172,                0.40425,                0.96868,              0.0019683,              0.0019683,              0.0019683
                     10,                0.81523,                  1.564,                0.57374,                 1.0686,                0.96387,                0.98809,                0.99239,                0.84626,                0.96387,                0.98809,                0.99239,                0.70179,                0.63286,                 1.4144,                0.41191,                0.98331,              0.0019644,              0.0019644,              0.0019644
                     11,                0.80125,                 1.5476,                0.55205,                 1.0598,                0.99863,                0.98889,                0.99496,                0.85223,                0.99489,                0.98519,                0.99354,                0.71522,                0.63484,                 1.4205,                0.37501,                0.98103,              0.0019604,              0.0019604,              0.0019604
                     12,                0.79875,                 1.5379,                0.54857,                 1.0547,                0.98274,                0.97778,                0.99223,                 0.8572,                0.98505,                0.97641,                0.99243,                0.71963,                0.62245,                 1.4083,                0.38141,                0.97512,              0.0019564,              0.0019564,              0.0019564
