                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4381,                 2.2473,                 1.1877,                 1.5758,                0.65838,                0.41111,                0.51386,                0.28336,                0.60685,                    0.4,                0.46714,                0.21751,                  1.679,                 3.1503,                 1.8429,                 1.9122,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.4083,                 2.2861,                 1.1963,                 1.5588,                0.74517,                0.32963,                0.42638,                0.21758,                0.67978,                 0.3037,                 0.3546,                0.16577,                 1.9147,                 3.5896,                 2.4058,                 2.1622,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.4042,                 2.2948,                 1.2096,                 1.5358,                0.75835,                    0.6,                0.72897,                0.44465,                0.74873,                0.57389,                0.69705,                0.38928,                 1.4335,                 2.5864,                  1.322,                 1.7046,               0.001905,               0.001905,               0.001905
                     26,                 1.4132,                 2.2273,                 1.1343,                 1.5314,                0.86225,                0.74189,                0.85877,                0.54774,                0.84509,                0.72739,                0.83096,                0.50052,                 1.2894,                 2.2066,                 1.0008,                 1.6066,               0.001901,               0.001901,               0.001901
                     27,                 1.3807,                  2.302,                  1.132,                 1.5319,                0.84309,                0.77037,                  0.858,                0.56714,                 0.8115,                0.76533,                0.82498,                0.49225,                  1.224,                 2.1952,                 1.0464,                 1.5172,               0.001897,               0.001897,               0.001897
                     28,                 1.3646,                 2.1511,                 1.1061,                  1.521,                0.90082,                0.74009,                0.87888,                0.59299,                0.88338,                0.74074,                0.85209,                0.50861,                 1.2427,                 2.2549,                0.96033,                 1.5224,              0.0018931,              0.0018931,              0.0018931
                     29,                 1.3707,                 2.2248,                 1.1093,                 1.5082,                 0.9084,                0.75556,                0.88635,                0.59034,                0.89194,                0.74444,                0.85489,                0.51543,                  1.224,                 2.1394,                0.95906,                 1.5091,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.3217,                 2.1193,                 1.0494,                  1.477,                0.82762,                0.74683,                 0.8486,                0.53706,                0.80299,                0.72461,                0.82186,                0.48986,                  1.374,                 2.2007,                 1.0013,                 1.6276,              0.0018852,              0.0018852,              0.0018852
                     31,                 1.3567,                 2.2165,                 1.0679,                 1.4937,                0.87582,                0.75753,                 0.8646,                0.56428,                 0.8688,                0.74444,                0.84165,                0.49826,                 1.2741,                  2.169,                0.99363,                 1.5292,              0.0018812,              0.0018812,              0.0018812
                     32,                 1.3202,                 2.0923,                 1.0322,                 1.4818,                0.89563,                0.76667,                0.87652,                0.58951,                0.88042,                0.75556,                 0.8538,                0.51243,                 1.2347,                 2.1614,                0.91597,                 1.5425,              0.0018772,              0.0018772,              0.0018772
