                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.501,                 2.7843,                 7.5063,                 4.0468,                0.00098,                0.74444,                0.00173,                0.00051,                0.00076,                0.57407,                0.00091,                0.00022,                 2.7965,                 1.9503,                 5.4521,                 3.6798,              0.0033258,              0.0033258,              0.0033258
                      1,                 3.0515,                 2.1627,                 4.2199,                 3.3632,                 0.0034,                0.86296,                0.06126,                0.01479,                0.00238,                 0.6037,                0.04637,                0.01065,                 2.4031,                 1.5912,                 3.5071,                 2.9415,              0.0066459,              0.0066459,              0.0066459
                      2,                 2.7065,                 1.8322,                  3.356,                 2.8871,                0.05167,                0.01852,                0.01098,                0.00301,                0.00605,                0.15926,                0.00272,                 0.0006,                 2.3846,                 1.7404,                 4.2594,                 2.8348,              0.0099529,              0.0099529,              0.0099529
                      3,                 2.2818,                 1.8051,                 2.6089,                 2.4938,                0.56519,                0.48889,                0.52014,                0.23446,                 0.5688,                0.48856,                0.48381,                0.19999,                 1.8929,                 1.2073,                 1.9546,                 2.3029,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.0332,                 1.6131,                 2.2695,                 2.2211,                0.72045,                 0.5037,                0.58172,                0.28732,                 0.6581,                0.48477,                0.52883,                0.25143,                 1.8225,                 1.1881,                 1.9323,                 2.2027,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.9591,                 1.5372,                 2.2373,                 2.1507,                0.52297,                0.50741,                0.45448,                0.21791,                0.50389,                0.48889,                0.43433,                0.16909,                 1.8288,                 1.2275,                 2.1285,                 2.1302,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8342,                 1.4176,                 2.0546,                 1.9894,                 0.6917,                 0.6037,                0.66895,                0.40747,                0.68531,                    0.6,                 0.6404,                0.34369,                 1.6548,                 1.0511,                 1.6048,                 1.9887,               0.009901,               0.009901,               0.009901
                      7,                 1.8085,                 1.4279,                 1.9069,                 1.9716,                0.80725,                0.61481,                0.71104,                0.40046,                0.78152,                0.58293,                0.66203,                0.35221,                 1.6372,                 1.0458,                 1.6121,                 1.9279,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7374,                 1.3766,                 1.8173,                 1.8982,                 0.6606,                0.57037,                0.64195,                0.35905,                0.75163,                0.45926,                0.58309,                0.30453,                 1.7233,                 1.1239,                 1.8384,                 2.0648,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6773,                 1.3414,                 1.7277,                 1.8396,                0.82883,                0.48421,                 0.6087,                0.37318,                0.77719,                0.44815,                0.54674,                0.28991,                 1.6278,                 1.1623,                  1.925,                 1.9569,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6553,                  1.372,                 1.7027,                 1.8054,                0.80706,                0.72593,                0.74901,                0.40098,                 0.7789,                0.67849,                0.70146,                0.35216,                 1.5556,                0.97787,                 1.5206,                  1.887,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6047,                  1.286,                 1.5667,                 1.7629,                0.89923,                0.65556,                0.80303,                0.50323,                0.88249,                0.63971,                0.77014,                0.42812,                 1.4322,                0.96167,                 1.3057,                 1.7253,               0.009802,               0.009802,               0.009802
                     12,                 1.5892,                 1.3107,                 1.6251,                 1.7425,                0.85238,                0.67407,                0.79071,                0.49803,                0.82756,                0.65185,                0.74722,                0.42791,                 1.4079,                0.92932,                 1.3302,                 1.7176,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.5693,                 1.2807,                  1.584,                 1.7126,                0.85398,                0.68519,                0.79302,                0.50556,                0.83491,                0.67037,                0.75734,                0.43328,                 1.4171,                0.95264,                 1.3189,                 1.7213,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.5274,                 1.2513,                 1.5443,                 1.6768,                0.86082,                0.67778,                0.79756,                0.50271,                0.88882,                0.63704,                0.76486,                0.42622,                 1.4415,                0.94885,                 1.3429,                 1.7019,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5234,                 1.2354,                 1.5492,                 1.6834,                0.78475,                0.70217,                0.77794,                0.47597,                0.77234,                0.69106,                0.74423,                0.43946,                 1.4409,                0.91387,                 1.3667,                 1.7673,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.4951,                 1.3011,                  1.482,                 1.6674,                0.76458,                0.71111,                 0.7891,                0.50863,                0.74166,                0.68889,                0.75897,                0.43271,                  1.413,                0.92314,                 1.3115,                 1.6984,               0.009703,               0.009703,               0.009703
                     17,                 1.5194,                 1.2691,                 1.4801,                 1.6649,                0.84696,                0.72963,                0.83625,                0.52919,                0.84369,                0.71481,                0.80701,                0.47378,                  1.393,                0.86454,                 1.2043,                 1.7139,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.4851,                 1.2387,                 1.4989,                 1.6604,                0.88819,                0.69259,                0.80793,                0.51326,                0.90994,                0.63616,                0.73766,                0.40664,                  1.412,                0.96584,                  1.318,                 1.6919,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.4801,                 1.2143,                 1.4558,                 1.6632,                0.87766,                0.71743,                0.81953,                 0.5255,                0.83137,                0.69385,                0.78023,                0.45933,                 1.3488,                0.86708,                 1.2685,                 1.6622,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.4794,                 1.1766,                 1.4361,                  1.638,                0.91251,                0.68148,                 0.8366,                 0.5733,                 0.9249,                0.65185,                0.80694,                 0.4902,                 1.3391,                0.87544,                 1.1609,                   1.65,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.4171,                 1.2003,                 1.4095,                 1.5883,                0.95339,                0.68181,                0.84502,                0.53436,                0.94345,                0.66667,                 0.8024,                0.47201,                  1.358,                0.84334,                 1.1491,                 1.6579,               0.009604,               0.009604,               0.009604
                     22,                  1.395,                 1.1673,                 1.3099,                 1.5792,                0.93492,                0.72963,                0.85026,                0.56485,                0.90015,                0.72593,                0.81951,                0.48638,                 1.3437,                0.86005,                 1.0723,                 1.6362,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.4155,                 1.2185,                 1.3038,                 1.5964,                0.90545,                0.70934,                 0.8451,                0.55886,                0.89728,                0.70741,                0.81749,                0.48139,                 1.3326,                0.85815,                 1.1285,                 1.6453,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.408,                 1.1653,                 1.3643,                 1.5917,                0.90165,                0.72222,                0.86225,                0.57451,                0.88777,                0.71111,                0.83465,                0.50256,                 1.2794,                0.81106,                 1.0732,                 1.5758,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.4001,                 1.1327,                 1.3148,                 1.5785,                0.89334,                0.71111,                0.83779,                0.56588,                0.87958,                0.68148,                0.80075,                0.49549,                 1.2832,                0.82821,                 1.1759,                  1.598,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.4022,                  1.144,                 1.3068,                 1.5493,                0.89359,                0.74646,                0.85335,                 0.5628,                0.88851,                    0.7,                0.81034,                0.48451,                 1.3128,                0.84257,                 1.1177,                 1.6436,               0.009505,               0.009505,               0.009505
                     27,                 1.3495,                 1.1593,                 1.2634,                 1.5338,                0.91614,                0.74815,                0.85956,                0.59356,                0.91898,                0.72963,                0.82873,                0.51316,                 1.2208,                0.82192,                 1.0595,                 1.5635,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.3789,                  1.176,                 1.2625,                 1.5468,                0.87526,                0.77037,                0.85849,                0.57766,                0.85777,                0.75185,                0.82375,                0.50388,                 1.2312,                0.80778,                  1.063,                  1.527,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.3255,                 1.1417,                 1.1819,                  1.521,                0.84776,                 0.7631,                0.85523,                0.58433,                0.84935,                0.74074,                0.82776,                0.48753,                 1.2796,                0.85366,                 1.0529,                 1.5994,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.3268,                 1.1361,                 1.2486,                 1.4992,                0.88689,                0.76296,                0.86292,                 0.5875,                0.88199,                0.75185,                0.84705,                0.50826,                 1.2464,                  0.824,                 1.0077,                 1.5395,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.3273,                 1.1655,                 1.2411,                 1.5061,                 0.8831,                0.75546,                0.85323,                0.56908,                0.87425,                0.72101,                0.81297,                0.48501,                 1.2802,                0.85878,                 1.0835,                 1.5455,               0.009406,               0.009406,               0.009406
                     32,                 1.3485,                 1.0938,                 1.1917,                 1.5186,                0.87175,                0.81481,                0.88542,                 0.6057,                0.85319,                0.79259,                 0.8634,                0.52746,                 1.2267,                0.78704,                0.97688,                 1.5088,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.2989,                  1.149,                 1.2025,                 1.4726,                 0.8325,                 0.8037,                0.87977,                0.59612,                0.81992,                0.77407,                0.85692,                0.52474,                  1.251,                0.79623,                  0.963,                 1.5185,              0.0093664,              0.0093664,              0.0093664
