                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.374,                 1.1407,                 1.2881,                 1.5397,                0.84932,                0.81416,                0.88048,                 0.5919,                 0.8331,                0.79497,                0.85446,                0.52331,                  1.228,                0.78567,                0.94524,                  1.522,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.3396,                 1.1182,                 1.2043,                 1.5052,                0.89936,                0.81111,                0.89886,                0.60494,                0.89233,                 0.7963,                0.87346,                0.53482,                    1.2,                0.77898,                0.94717,                  1.467,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3444,                 1.1153,                 1.2304,                 1.5086,                0.88147,                0.79873,                0.89117,                0.60851,                0.87507,                 0.7783,                0.86248,                0.52216,                 1.1919,                0.78922,                0.94886,                 1.4946,               0.009307,               0.009307,               0.009307
                     37,                 1.3372,                 1.0926,                  1.222,                 1.4917,                0.90624,                0.76667,                0.88302,                0.63693,                0.88911,                0.75185,                0.86265,                0.54995,                 1.1446,                0.76088,                 1.0048,                 1.4587,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2996,                 1.0858,                 1.1348,                  1.484,                 0.8839,                0.81774,                0.89828,                0.62144,                0.87596,                 0.7963,                0.86959,                0.54323,                 1.2063,                0.76707,                0.90635,                 1.4927,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3245,                 1.0808,                 1.1883,                 1.4956,                0.88038,                0.81777,                0.88408,                0.62909,                0.93036,                0.74215,                0.85872,                0.53138,                 1.1786,                0.77708,                0.94298,                 1.4741,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2881,                 1.1196,                 1.1666,                 1.4621,                0.86096,                0.84859,                0.90781,                0.63195,                0.92483,                0.76667,                 0.8779,                0.54045,                 1.1848,                0.77472,                 0.8955,                 1.5031,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.2831,                 1.1018,                 1.1239,                 1.4539,                0.91754,                0.76296,                 0.8816,                0.61796,                0.90698,                0.75836,                0.85725,                0.53429,                 1.1897,                 0.7775,                 1.0052,                 1.4886,               0.009208,               0.009208,               0.009208
                     42,                 1.3038,                 1.1019,                 1.1142,                 1.4805,                0.91288,                    0.8,                 0.8941,                0.61575,                0.90057,                0.77154,                0.87165,                0.53332,                 1.1721,                0.75999,                0.89844,                 1.4454,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2937,                 1.0539,                 1.1357,                 1.4433,                0.93209,                0.76257,                 0.8867,                0.61266,                0.91201,                0.72939,                0.85205,                0.53992,                 1.1925,                   0.79,                0.89406,                 1.4616,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2382,                 1.0492,                 1.0643,                 1.4178,                0.93735,                0.78889,                0.89845,                0.63437,                0.90406,                0.77778,                0.86862,                0.54785,                 1.1544,                0.77475,                0.88981,                 1.4286,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2964,                 1.0827,                 1.1082,                 1.4613,                0.92033,                0.81285,                0.90676,                0.64595,                0.91223,                    0.8,                0.88057,                0.55912,                 1.1535,                0.74619,                0.87512,                 1.4377,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2245,                 1.0501,                 1.0605,                 1.4112,                0.86796,                0.85213,                0.90854,                0.64077,                0.84769,                0.82963,                0.88247,                0.56056,                 1.1318,                0.74773,                0.90968,                 1.4283,               0.009109,               0.009109,               0.009109
                     47,                 1.2292,                 1.1078,                 1.0679,                 1.4235,                0.92522,                  0.779,                0.89835,                0.60453,                0.89862,                0.75505,                0.86622,                 0.5132,                 1.2611,                0.80188,                0.97721,                 1.5264,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2404,                 1.0595,                 1.0919,                 1.4175,                 0.8846,                0.85174,                0.90843,                0.65665,                0.88696,                0.80741,                0.88115,                0.55918,                 1.1043,                0.74454,                 0.8257,                 1.3994,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2792,                 1.0721,                 1.0909,                 1.4275,                0.87032,                0.79259,                 0.8787,                0.63404,                0.85332,                0.77778,                0.85993,                0.54657,                 1.1009,                0.74586,                0.90615,                  1.411,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2574,                 1.0968,                 1.1113,                 1.4206,                0.91398,                0.82636,                0.90674,                0.64601,                0.91018,                0.82569,                0.89624,                0.57361,                 1.1437,                0.73359,                0.87643,                 1.4397,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2636,                 1.0496,                 1.0717,                  1.429,                0.92935,                0.82819,                 0.9119,                0.65647,                0.92914,                    0.8,                 0.8875,                0.55202,                 1.0952,                0.73912,                0.81992,                 1.3908,                0.00901,                0.00901,                0.00901
                     52,                 1.2136,                 1.0975,                  1.031,                 1.3988,                0.86784,                0.80741,                0.87422,                0.62133,                0.85407,                0.78035,                 0.8467,                 0.5377,                 1.1647,                0.76129,                0.93838,                 1.4595,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2334,                 1.0695,                 1.0772,                 1.4103,                0.89887,                0.82301,                0.91007,                0.66187,                0.89078,                 0.8156,                0.89633,                0.58747,                 1.0892,                0.70908,                0.82419,                 1.3638,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.2554,                 1.0673,                 1.0547,                 1.4139,                 0.9107,                0.83101,                0.91552,                0.67079,                0.91001,                0.82593,                0.89794,                0.57588,                 1.0879,                0.73136,                0.82364,                 1.3929,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2288,                 1.0416,                 1.0644,                 1.3827,                0.92607,                0.82222,                0.91868,                0.67605,                 0.9246,                0.81852,                 0.9044,                0.58125,                 1.0503,                0.72569,                0.78845,                 1.3499,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2421,                 1.0393,                 1.0273,                 1.4128,                0.90628,                0.78519,                0.90341,                0.65547,                0.90534,                0.77407,                0.89023,                0.57311,                  1.121,                0.72691,                0.86496,                 1.4039,               0.008911,               0.008911,               0.008911
                     57,                 1.2098,                 1.0555,                 1.0867,                 1.3932,                0.94458,                0.75745,                0.90076,                0.65208,                0.93996,                0.75375,                0.88759,                0.56234,                 1.1122,                0.73573,                0.87934,                 1.4074,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.161,                 1.0294,                0.98748,                 1.3577,                0.93125,                0.81481,                0.91428,                0.67586,                0.93125,                0.81481,                0.89785,                0.57595,                 1.0401,                0.71617,                0.81538,                  1.355,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2287,                 1.0244,                 1.0706,                 1.4286,                0.92054,                0.86667,                0.93227,                0.68095,                0.90553,                0.84815,                0.90609,                 0.5853,                 1.0623,                0.71847,                0.76898,                 1.3685,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2195,                 1.0396,                 1.0184,                 1.3977,                 0.8807,                0.84757,                0.92294,                0.66868,                0.87285,                0.83902,                0.90738,                0.58496,                 1.0776,                0.71528,                0.80732,                 1.3862,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2194,                 1.0248,                 1.0574,                 1.3849,                0.89819,                0.87407,                0.92262,                0.67112,                0.88654,                0.85926,                0.90985,                0.58386,                 1.0854,                0.71159,                0.77694,                 1.3804,               0.008812,               0.008812,               0.008812
                     62,                 1.2045,                 1.0292,                0.97091,                 1.3867,                0.95597,                0.82963,                0.92551,                0.68612,                0.94475,                0.81852,                0.90597,                0.57742,                  1.083,                0.72406,                0.77928,                 1.3961,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1823,                 1.0345,                0.98366,                  1.386,                0.95211,                0.80992,                0.91987,                0.66408,                0.92164,                    0.8,                0.88934,                 0.5731,                 1.0873,                0.72551,                0.79478,                 1.3954,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.2179,                 1.0249,                 1.0266,                 1.3802,                0.91009,                0.82963,                0.92944,                0.67244,                0.90603,                0.82593,                0.91596,                0.58693,                 1.0736,                0.71425,                 0.7483,                 1.3424,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.2014,                 1.0235,                 1.0011,                 1.3814,                0.90976,                0.86296,                0.93301,                0.66742,                0.89175,                 0.8543,                0.92443,                0.58774,                 1.0791,                0.71525,                0.74196,                 1.3465,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1723,                 1.0203,                 1.0129,                 1.3677,                0.94757,                0.80332,                0.90894,                0.64444,                0.92573,                 0.7848,                0.88126,                0.56666,                 1.0936,                0.71273,                0.83583,                 1.3829,               0.008713,               0.008713,               0.008713
                     67,                 1.1614,                 1.0575,                 1.0077,                 1.3382,                0.95653,                0.81489,                0.92589,                0.68838,                0.94783,                0.80748,                0.90699,                0.59528,                 1.0411,                0.70311,                0.75589,                 1.3406,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.1914,                 1.0635,                0.95721,                 1.3518,                0.94484,                0.84444,                0.93247,                0.69161,                0.92494,                0.82147,                0.90804,                0.58334,                 1.0639,                0.70067,                0.75914,                 1.3589,              0.0086734,              0.0086734,              0.0086734
                     69,                  1.157,                 1.0217,                 1.0015,                 1.3409,                0.89705,                0.87132,                0.93146,                0.69725,                0.88119,                0.83704,                0.90748,                0.58739,                 1.0094,                0.70907,                0.74486,                   1.31,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1984,                 1.0065,                 1.0029,                 1.3623,                0.93629,                0.85185,                0.94248,                0.70974,                0.93266,                0.84074,                0.93294,                 0.6103,                 1.0071,                0.68205,                0.69537,                 1.3142,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1737,                 1.0277,                0.94238,                 1.3493,                0.91045,                0.84815,                0.92781,                0.68193,                0.89663,                0.83704,                0.91439,                0.59129,                 1.0342,                0.70286,                0.75725,                 1.3149,               0.008614,               0.008614,               0.008614
                     72,                  1.124,                 1.0092,                0.93703,                 1.3171,                0.90455,                0.87778,                0.93582,                0.71358,                 0.8929,                0.86667,                0.92071,                0.61513,                0.98628,                0.67697,                0.71359,                  1.283,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1561,                0.99117,                0.94937,                 1.3376,                0.94716,                0.86299,                0.94365,                0.70599,                0.95671,                0.81481,                 0.9296,                0.61482,                 1.0054,                0.66978,                0.69537,                 1.2915,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1313,                 1.0231,                0.92486,                 1.3254,                0.93001,                0.86667,                0.93931,                0.70603,                0.92206,                0.85926,                0.93063,                0.60914,                 1.0247,                0.68296,                0.72801,                 1.3089,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1075,                 1.0007,                 0.8886,                 1.2927,                0.95754,                0.83704,                0.94352,                0.70613,                 0.9533,                0.83333,                0.93156,                0.61538,                  1.015,                0.67653,                0.65816,                 1.2724,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1674,                 1.0196,                0.97486,                 1.3596,                0.94633,                0.87407,                0.95229,                0.70952,                0.94711,                0.86226,                0.93965,                0.62395,                 1.0128,                0.67001,                0.66508,                 1.3093,               0.008515,               0.008515,               0.008515
                     77,                 1.1702,                0.99108,                0.95888,                 1.3522,                0.93451,                0.87037,                0.94635,                0.71204,                0.94019,                0.85185,                0.93648,                 0.6251,                0.99133,                0.66667,                0.69945,                 1.2805,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.1421,                 1.0093,                0.92191,                 1.3298,                0.91294,                0.89329,                0.95088,                0.71837,                0.89758,                0.87637,                0.93729,                0.61917,                0.99848,                0.66135,                0.65329,                  1.298,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1328,                0.99552,                0.89944,                 1.3299,                0.94558,                0.88889,                 0.9577,                0.71054,                0.93754,                0.88148,                0.94476,                0.61626,                 1.0298,                0.67309,                0.65193,                 1.3111,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1583,                0.96729,                0.92442,                 1.3224,                0.95107,                0.85185,                0.94862,                 0.7197,                0.93838,                0.84074,                0.93314,                0.61281,                0.98913,                0.68119,                0.69103,                 1.2853,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1086,                 0.9984,                0.88544,                 1.2971,                0.95449,                0.85448,                0.95304,                0.72741,                0.93401,                0.83333,                0.93683,                0.62486,                0.98136,                 0.6691,                 0.6574,                 1.2935,               0.008416,               0.008416,               0.008416
                     82,                  1.128,                0.98536,                0.91679,                 1.3226,                0.91028,                0.87778,                0.94657,                0.72431,                0.90605,                0.86667,                0.92803,                0.61501,                0.98152,                0.67173,                0.66953,                  1.283,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1263,                0.99903,                0.93972,                 1.3129,                0.90178,                0.88407,                0.94952,                0.72887,                0.89434,                0.87782,                0.93766,                0.62751,                0.96298,                0.66551,                0.65977,                 1.2708,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1159,                 1.0021,                 0.8653,                 1.3047,                0.96292,                0.89259,                0.95723,                0.72125,                0.95262,                0.87778,                0.93842,                0.61851,                 0.9922,                0.67277,                 0.6301,                 1.2776,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.107,                0.95693,                0.91063,                 1.3166,                 0.9585,                0.87407,                0.95052,                 0.7292,                0.95444,                0.87037,                 0.9396,                  0.618,                0.96127,                0.66874,                0.66505,                 1.2767,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1434,                0.98229,                0.89044,                 1.3565,                0.94938,                0.87778,                0.94926,                0.71681,                0.94137,                0.87037,                0.93624,                0.61834,                0.96899,                0.66643,                0.67193,                 1.2679,               0.008317,               0.008317,               0.008317
                     87,                 1.0956,                0.95236,                0.87381,                 1.2788,                0.92396,                0.86667,                0.95247,                0.72568,                0.97791,                0.82222,                0.93741,                0.63176,                0.97247,                0.65924,                0.64507,                 1.2745,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.1172,                0.96508,                 0.9219,                 1.3235,                0.91605,                0.88911,                0.95444,                0.71982,                0.90272,                0.88148,                0.94153,                0.62647,                 1.0013,                0.66342,                0.65534,                  1.278,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.0998,                0.97257,                0.90029,                  1.292,                 0.9475,                0.86896,                0.95145,                0.72786,                 0.9429,                0.85626,                0.93675,                0.62569,                0.94978,                0.66012,                0.64812,                 1.2634,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.1133,                0.95602,                0.91054,                 1.3039,                0.94292,                0.85185,                 0.9462,                 0.7176,                0.94198,                0.84183,                0.93455,                0.62715,                0.95822,                0.66442,                0.65845,                 1.2454,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.0989,                0.95871,                0.89838,                 1.2827,                0.95396,                0.86296,                0.95396,                0.72654,                0.94828,                0.85556,                0.94281,                0.62822,                 0.9721,                0.66837,                0.64022,                 1.2509,               0.008218,               0.008218,               0.008218
                     92,                 1.1021,                0.98452,                0.91475,                 1.2961,                0.97547,                0.88371,                0.96096,                0.71605,                0.95672,                0.87037,                0.94136,                0.60905,                0.97694,                0.65493,                0.64267,                 1.2572,              0.0081982,              0.0081982,              0.0081982
